rank,name,rate,link,rrrrrr
1,The Shawshank Redemption,9.2,https://www.imdb.com//title/tt0111161/,9.2
2,The Godfather,9.2,https://www.imdb.com//title/tt0068646/,9.2
3,The Dark Knight,9.0,https://www.imdb.com//title/tt0468569/,9.0
4,The Godfather Part II,9.0,https://www.imdb.com//title/tt0071562/,9.0
5,12 Angry Men,8.9,https://www.imdb.com//title/tt0050083/,8.9
6,Schindler's List,8.9,https://www.imdb.com//title/tt0108052/,8.9
7,The Lord of the Rings: The Return of the King,8.9,https://www.imdb.com//title/tt0167260/,8.9
8,Pulp Fiction,8.8,https://www.imdb.com//title/tt0110912/,8.8
9,The Lord of the Rings: The Fellowship of the Ring,8.8,https://www.imdb.com//title/tt0120737/,8.8
10,"Il buono, il brutto, il cattivo",8.8,https://www.imdb.com//title/tt0060196/,8.8
11,Forrest Gump,8.8,https://www.imdb.com//title/tt0109830/,8.8
12,Fight Club,8.7,https://www.imdb.com//title/tt0137523/,8.7
13,Inception,8.7,https://www.imdb.com//title/tt1375666/,8.7
14,The Lord of the Rings: The Two Towers,8.7,https://www.imdb.com//title/tt0167261/,8.7
15,The Empire Strikes Back,8.7,https://www.imdb.com//title/tt0080684/,8.7
16,The Matrix,8.7,https://www.imdb.com//title/tt0133093/,8.7
17,Goodfellas,8.7,https://www.imdb.com//title/tt0099685/,8.7
18,One Flew Over the Cuckoo's Nest,8.6,https://www.imdb.com//title/tt0073486/,8.6
19,Se7en,8.6,https://www.imdb.com//title/tt0114369/,8.6
20,Shichinin no samurai,8.6,https://www.imdb.com//title/tt0047478/,8.6
21,It's a Wonderful Life,8.6,https://www.imdb.com//title/tt0038650/,8.6
22,The Silence of the Lambs,8.6,https://www.imdb.com//title/tt0102926/,8.6
23,Cidade de Deus,8.6,https://www.imdb.com//title/tt0317248/,8.6
24,Saving Private Ryan,8.6,https://www.imdb.com//title/tt0120815/,8.6
25,La vita è bella,8.6,https://www.imdb.com//title/tt0118799/,8.6
26,The Green Mile,8.6,https://www.imdb.com//title/tt0120689/,8.6
27,Interstellar,8.6,https://www.imdb.com//title/tt0816692/,8.6
28,Star Wars,8.6,https://www.imdb.com//title/tt0076759/,8.6
29,Terminator 2: Judgment Day,8.5,https://www.imdb.com//title/tt0103064/,8.5
30,Back to the Future,8.5,https://www.imdb.com//title/tt0088763/,8.5
31,Sen to Chihiro no kamikakushi,8.5,https://www.imdb.com//title/tt0245429/,8.5
32,Psycho,8.5,https://www.imdb.com//title/tt0054215/,8.5
33,The Pianist,8.5,https://www.imdb.com//title/tt0253474/,8.5
34,Léon,8.5,https://www.imdb.com//title/tt0110413/,8.5
35,Gisaengchung,8.5,https://www.imdb.com//title/tt6751668/,8.5
36,The Lion King,8.5,https://www.imdb.com//title/tt0110357/,8.5
37,Gladiator,8.5,https://www.imdb.com//title/tt0172495/,8.5
38,American History X,8.5,https://www.imdb.com//title/tt0120586/,8.5
39,The Departed,8.5,https://www.imdb.com//title/tt0407887/,8.5
40,The Usual Suspects,8.5,https://www.imdb.com//title/tt0114814/,8.5
41,The Prestige,8.5,https://www.imdb.com//title/tt0482571/,8.5
42,Casablanca,8.5,https://www.imdb.com//title/tt0034583/,8.5
43,Whiplash,8.5,https://www.imdb.com//title/tt2582802/,8.5
44,The Intouchables,8.5,https://www.imdb.com//title/tt1675434/,8.5
45,Seppuku,8.5,https://www.imdb.com//title/tt0056058/,8.5
46,Hotaru no haka,8.5,https://www.imdb.com//title/tt0095327/,8.5
47,Modern Times,8.4,https://www.imdb.com//title/tt0027977/,8.4
48,Once Upon a Time in the West,8.4,https://www.imdb.com//title/tt0064116/,8.4
49,Rear Window,8.4,https://www.imdb.com//title/tt0047396/,8.4
50,Alien,8.4,https://www.imdb.com//title/tt0078748/,8.4
51,City Lights,8.4,https://www.imdb.com//title/tt0021749/,8.4
52,Nuovo Cinema Paradiso,8.4,https://www.imdb.com//title/tt0095765/,8.4
53,Apocalypse Now,8.4,https://www.imdb.com//title/tt0078788/,8.4
54,Memento,8.4,https://www.imdb.com//title/tt0209144/,8.4
55,Raiders of the Lost Ark,8.4,https://www.imdb.com//title/tt0082971/,8.4
56,Django Unchained,8.4,https://www.imdb.com//title/tt1853728/,8.4
57,WALL·E,8.4,https://www.imdb.com//title/tt0910970/,8.4
58,The Lives of Others,8.4,https://www.imdb.com//title/tt0405094/,8.4
59,Sunset Blvd.,8.4,https://www.imdb.com//title/tt0043014/,8.4
60,Paths of Glory,8.4,https://www.imdb.com//title/tt0050825/,8.4
61,The Shining,8.4,https://www.imdb.com//title/tt0081505/,8.4
62,The Great Dictator,8.4,https://www.imdb.com//title/tt0032553/,8.4
63,Avengers: Infinity War,8.4,https://www.imdb.com//title/tt4154756/,8.4
64,Witness for the Prosecution,8.4,https://www.imdb.com//title/tt0051201/,8.4
65,Aliens,8.3,https://www.imdb.com//title/tt0090605/,8.3
66,Top Gun: Maverick,8.3,https://www.imdb.com//title/tt1745960/,8.3
67,American Beauty,8.3,https://www.imdb.com//title/tt0169547/,8.3
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,https://www.imdb.com//title/tt0057012/,8.3
69,Spider-Man: Into the Spider-Verse,8.3,https://www.imdb.com//title/tt4633694/,8.3
70,The Dark Knight Rises,8.3,https://www.imdb.com//title/tt1345836/,8.3
71,Oldeuboi,8.3,https://www.imdb.com//title/tt0364569/,8.3
72,Joker,8.3,https://www.imdb.com//title/tt7286456/,8.3
73,Amadeus,8.3,https://www.imdb.com//title/tt0086879/,8.3
74,Braveheart,8.3,https://www.imdb.com//title/tt0112573/,8.3
